week_start_date,platform,campaign,impression_share,overlap_rate,position_above_rate,top_of_page_rate,absolute_top_rate,outranking_share,lost_is_rank,lost_is_budget,top_competitor
2026-07-27,Google Ads,Remarketing,0.528,0.342,0.433,0.611,0.262,0.492,0.173,0.107,Spectrum Business
2026-08-03,Google Ads,Brand Search,0.558,0.351,0.446,0.631,0.227,0.502,0.223,0.109,AT&T
2026-08-03,Google Ads,Business Fiber,0.594,0.354,0.451,0.613,0.227,0.501,0.194,0.107,Comcast Business
2026-08-03,Google Ads,SD-WAN,0.399,0.347,0.443,0.611,0.228,0.492,0.188,0.286,Lumen
2026-08-03,Google Ads,UCaaS,0.551,0.366,0.415,0.627,0.272,0.471,0.22,0.099,Verizon
2026-08-03,Google Ads,Managed Security,0.567,0.328,0.458,0.62,0.235,0.471,0.195,0.099,Lumen
2026-08-03,Google Ads,Enterprise Voice,0.464,0.371,0.47,0.564,0.231,0.336,0.381,0.112,AT&T
2026-08-03,Google Ads,Remarketing,0.546,0.37,0.451,0.643,0.244,0.489,0.201,0.097,Spectrum Business
2026-08-10,Google Ads,Brand Search,0.539,0.361,0.419,0.635,0.234,0.521,0.225,0.102,AT&T
2026-08-10,Google Ads,Business Fiber,0.569,0.346,0.461,0.563,0.232,0.494,0.189,0.108,Comcast Business
2026-08-10,Google Ads,SD-WAN,0.393,0.375,0.454,0.553,0.269,0.51,0.185,0.257,Lumen
2026-08-10,Google Ads,UCaaS,0.527,0.321,0.459,0.575,0.252,0.507,0.199,0.097,Verizon
2026-08-10,Google Ads,Managed Security,0.561,0.325,0.464,0.556,0.268,0.505,0.22,0.086,Lumen
2026-08-10,Google Ads,Enterprise Voice,0.48,0.318,0.443,0.569,0.259,0.369,0.338,0.113,AT&T
2026-08-10,Google Ads,Remarketing,0.56,0.327,0.446,0.608,0.272,0.515,0.206,0.109,Spectrum Business
2026-08-17,Google Ads,Brand Search,0.514,0.32,0.443,0.605,0.24,0.484,0.192,0.096,AT&T
2026-08-17,Google Ads,Business Fiber,0.518,0.352,0.468,0.611,0.23,0.516,0.186,0.101,Comcast Business
2026-08-17,Google Ads,SD-WAN,0.428,0.363,0.489,0.647,0.239,0.51,0.229,0.259,Lumen
2026-08-17,Google Ads,UCaaS,0.56,0.34,0.417,0.606,0.251,0.485,0.202,0.115,Verizon
2026-08-17,Google Ads,Managed Security,0.562,0.365,0.493,0.552,0.226,0.499,0.181,0.103,Lumen
2026-08-17,Google Ads,Enterprise Voice,0.561,0.385,0.442,0.584,0.253,0.469,0.221,0.109,AT&T
2026-08-17,Google Ads,Remarketing,0.562,0.37,0.433,0.601,0.241,0.461,0.182,0.093,Spectrum Business
2026-08-24,Google Ads,Brand Search,0.507,0.358,0.408,0.569,0.242,0.515,0.19,0.107,AT&T
2026-08-24,Google Ads,Business Fiber,0.536,0.36,0.448,0.612,0.27,0.514,0.225,0.109,Comcast Business
2026-08-24,Google Ads,SD-WAN,0.415,0.367,0.48,0.581,0.261,0.487,0.217,0.253,Lumen
2026-08-24,Google Ads,UCaaS,0.534,0.371,0.485,0.586,0.273,0.503,0.182,0.106,Verizon
2026-08-24,Google Ads,Managed Security,0.531,0.374,0.456,0.589,0.255,0.462,0.229,0.104,Lumen
2026-08-24,Google Ads,Enterprise Voice,0.582,0.317,0.442,0.6,0.237,0.52,0.212,0.094,AT&T
2026-08-24,Google Ads,Remarketing,0.546,0.323,0.476,0.627,0.271,0.536,0.183,0.094,Spectrum Business
