date,platform,channel,campaign,campaign_type,impressions,clicks,spend,conversions,conversion_value,monthly_budget
2026-06-09,Google Ads,Paid Search,Enterprise Voice,Non-Brand,19906,781,4466.77,49,25155.08,149000
2026-06-09,Google Ads,Display,Remarketing,Remarketing,77208,1050,3069.87,65,19964.6,97000
2026-06-10,Google Ads,Paid Search,Brand Search,Brand,20619,1634,3638.33,197,41155.46,112000
2026-06-10,Google Ads,Paid Search,Business Fiber,Non-Brand,47228,2474,9692.84,173,49376.92,279000
2026-06-10,Google Ads,Paid Search,SD-WAN,Non-Brand,31330,1232,7068.92,84,39184.52,218000
2026-06-10,Google Ads,Paid Search,UCaaS,Non-Brand,35050,1369,6338.98,88,36650.63,197000
2026-06-10,Google Ads,Paid Search,Managed Security,Non-Brand,26979,918,5682.7,55,29420.59,176000
2026-06-10,Google Ads,Paid Search,Enterprise Voice,Non-Brand,21553,839,4392.69,46,22706.01,149000
2026-06-10,Google Ads,Display,Remarketing,Remarketing,74673,1094,3210.21,75,22389.64,97000
2026-06-11,Google Ads,Paid Search,Brand Search,Brand,20323,1632,3747.42,195,40908.0,112000
2026-06-11,Google Ads,Paid Search,Business Fiber,Non-Brand,41121,2151,7982.56,129,38349.61,279000
2026-06-11,Google Ads,Paid Search,SD-WAN,Non-Brand,30397,1193,6632.51,77,34207.95,218000
2026-06-11,Google Ads,Paid Search,UCaaS,Non-Brand,32833,1281,5885.43,81,33670.96,197000
2026-06-11,Google Ads,Paid Search,Managed Security,Non-Brand,24938,892,5481.49,55,29977.16,176000
2026-06-11,Google Ads,Paid Search,Enterprise Voice,Non-Brand,18616,757,4092.2,43,22132.26,149000
2026-06-11,Google Ads,Display,Remarketing,Remarketing,70954,974,2864.87,64,19021.79,97000
2026-06-12,Google Ads,Paid Search,Brand Search,Brand,17000,1309,2857.63,185,37610.91,112000
2026-06-12,Google Ads,Paid Search,Business Fiber,Non-Brand,42977,2174,8095.56,142,40592.65,279000
2026-06-12,Google Ads,Paid Search,SD-WAN,Non-Brand,26381,1048,5809.29,69,31148.34,218000
2026-06-12,Google Ads,Paid Search,UCaaS,Non-Brand,29930,1163,5219.2,88,36216.29,197000
2026-06-12,Google Ads,Paid Search,Managed Security,Non-Brand,21865,733,4407.8,45,24398.79,176000
2026-06-12,Google Ads,Paid Search,Enterprise Voice,Non-Brand,19569,802,4489.48,45,21584.03,149000
2026-06-12,Google Ads,Display,Remarketing,Remarketing,58982,805,2408.04,58,16566.22,97000
2026-06-13,Google Ads,Paid Search,Brand Search,Brand,10036,813,1734.53,110,21912.5,112000
2026-06-13,Google Ads,Paid Search,Business Fiber,Non-Brand,22418,1138,4111.9,78,23905.06,279000
2026-06-13,Google Ads,Paid Search,SD-WAN,Non-Brand,14817,588,3130.51,41,18613.39,218000
2026-06-13,Google Ads,Paid Search,UCaaS,Non-Brand,16231,633,2947.58,44,18098.38,197000
2026-06-13,Google Ads,Paid Search,Managed Security,Non-Brand,13723,504,3051.36,33,18797.96,176000
2026-06-13,Google Ads,Paid Search,Enterprise Voice,Non-Brand,10974,449,2468.47,28,14104.01,149000
2026-06-13,Google Ads,Display,Remarketing,Remarketing,39309,564,1686.92,36,10512.72,97000
2026-06-14,Google Ads,Paid Search,Brand Search,Brand,10399,854,1882.9,114,22203.45,112000
2026-06-14,Google Ads,Paid Search,Business Fiber,Non-Brand,21795,1066,3959.77,67,20094.3,279000
2026-06-14,Google Ads,Paid Search,SD-WAN,Non-Brand,14898,580,3251.25,39,16710.43,218000
2026-06-14,Google Ads,Paid Search,UCaaS,Non-Brand,17231,692,3088.64,46,18099.34,197000
2026-06-14,Google Ads,Paid Search,Managed Security,Non-Brand,14231,502,3072.5,32,18198.45,176000
2026-06-14,Google Ads,Paid Search,Enterprise Voice,Non-Brand,10574,402,2178.49,25,12836.57,149000
2026-06-14,Google Ads,Display,Remarketing,Remarketing,39641,550,1692.33,37,11282.15,97000
2026-06-15,Google Ads,Paid Search,Brand Search,Brand,18556,1443,3153.93,170,33346.78,112000
2026-06-15,Google Ads,Paid Search,Business Fiber,Non-Brand,45904,2273,8348.98,147,42334.0,279000
2026-06-15,Google Ads,Paid Search,SD-WAN,Non-Brand,30778,1173,6382.5,76,32748.89,218000
2026-06-15,Google Ads,Paid Search,UCaaS,Non-Brand,34153,1316,5900.83,84,33136.87,197000
2026-06-15,Google Ads,Paid Search,Managed Security,Non-Brand,24338,837,5153.66,49,27588.97,176000
2026-06-15,Google Ads,Paid Search,Enterprise Voice,Non-Brand,21673,845,4455.52,45,22516.97,149000
2026-06-15,Google Ads,Display,Remarketing,Remarketing,76204,1051,3199.87,74,22648.6,97000
2026-06-16,Google Ads,Paid Search,Brand Search,Brand,20793,1738,3709.09,204,39346.96,112000
2026-06-16,Google Ads,Paid Search,Business Fiber,Non-Brand,43155,2194,8391.73,134,41117.49,279000
2026-06-16,Google Ads,Paid Search,SD-WAN,Non-Brand,32376,1252,6959.94,84,36557.71,218000
2026-06-16,Google Ads,Paid Search,UCaaS,Non-Brand,36099,1511,6533.23,96,37575.52,197000
2026-06-16,Google Ads,Paid Search,Managed Security,Non-Brand,26989,988,5866.04,62,32506.08,176000
2026-06-16,Google Ads,Paid Search,Enterprise Voice,Non-Brand,21814,884,4666.57,55,28306.36,149000
2026-06-16,Google Ads,Display,Remarketing,Remarketing,73742,993,3123.97,70,20770.9,97000
2026-06-17,Google Ads,Paid Search,Brand Search,Brand,19202,1516,3337.87,190,39415.41,112000
2026-06-17,Google Ads,Paid Search,Business Fiber,Non-Brand,46926,2254,8958.95,150,46552.31,279000
2026-06-17,Google Ads,Paid Search,SD-WAN,Non-Brand,31189,1240,6976.66,87,38302.52,218000
2026-06-17,Google Ads,Paid Search,UCaaS,Non-Brand,35037,1407,6320.2,97,39781.45,197000
2026-06-17,Google Ads,Paid Search,Managed Security,Non-Brand,24569,890,5517.71,49,27929.2,176000
2026-06-17,Google Ads,Paid Search,Enterprise Voice,Non-Brand,19737,787,4374.46,45,21468.34,149000
2026-06-17,Google Ads,Display,Remarketing,Remarketing,74522,1010,2943.11,72,21169.25,97000
2026-06-18,Google Ads,Paid Search,Brand Search,Brand,20018,1634,3513.68,191,39938.68,112000
2026-06-18,Google Ads,Paid Search,Business Fiber,Non-Brand,40476,2068,7850.67,141,43156.87,279000
2026-06-18,Google Ads,Paid Search,SD-WAN,Non-Brand,30010,1199,6789.27,71,30989.43,218000
2026-06-18,Google Ads,Paid Search,UCaaS,Non-Brand,33431,1311,5949.15,91,36634.03,197000
2026-06-18,Google Ads,Paid Search,Managed Security,Non-Brand,24491,878,5180.34,55,29418.13,176000
2026-06-18,Google Ads,Paid Search,Enterprise Voice,Non-Brand,19197,739,3938.18,40,20104.2,149000
2026-06-18,Google Ads,Display,Remarketing,Remarketing,71419,968,2822.78,65,19838.92,97000
2026-06-19,Google Ads,Paid Search,Brand Search,Brand,18915,1517,3264.86,181,35098.27,112000
2026-06-19,Google Ads,Paid Search,Business Fiber,Non-Brand,38615,1869,6756.55,122,35807.84,279000
2026-06-19,Google Ads,Paid Search,SD-WAN,Non-Brand,29385,1182,6627.54,70,32801.9,218000
2026-06-19,Google Ads,Paid Search,UCaaS,Non-Brand,30166,1252,5673.96,87,34623.24,197000
2026-06-19,Google Ads,Paid Search,Managed Security,Non-Brand,21919,733,4590.44,44,24807.19,176000
2026-06-19,Google Ads,Paid Search,Enterprise Voice,Non-Brand,18324,702,3909.58,38,18099.51,149000
2026-06-19,Google Ads,Display,Remarketing,Remarketing,64482,885,2786.25,55,16866.29,97000
2026-06-20,Google Ads,Paid Search,Brand Search,Brand,10348,852,1822.8,111,22088.61,112000
2026-06-20,Google Ads,Paid Search,Business Fiber,Non-Brand,23161,1200,4782.45,75,22721.56,279000
2026-06-20,Google Ads,Paid Search,SD-WAN,Non-Brand,16090,659,3787.0,40,17436.19,218000
2026-06-20,Google Ads,Paid Search,UCaaS,Non-Brand,17939,693,3016.56,44,16870.69,197000
2026-06-20,Google Ads,Paid Search,Managed Security,Non-Brand,13259,468,2751.88,27,14905.67,176000
2026-06-20,Google Ads,Paid Search,Enterprise Voice,Non-Brand,11130,443,2483.04,28,14515.53,149000
2026-06-20,Google Ads,Display,Remarketing,Remarketing,37700,536,1678.68,35,10665.57,97000
2026-06-21,Google Ads,Paid Search,Brand Search,Brand,10415,867,1970.29,103,19881.16,112000
2026-06-21,Google Ads,Paid Search,Business Fiber,Non-Brand,22655,1161,4442.24,72,20835.3,279000
2026-06-21,Google Ads,Paid Search,SD-WAN,Non-Brand,16290,665,3817.16,43,19220.34,218000
2026-06-21,Google Ads,Paid Search,UCaaS,Non-Brand,16316,623,2782.68,42,16393.76,197000
2026-06-21,Google Ads,Paid Search,Managed Security,Non-Brand,12491,457,2836.49,28,15984.57,176000
2026-06-21,Google Ads,Paid Search,Enterprise Voice,Non-Brand,11642,474,2545.24,25,12947.89,149000
2026-06-21,Google Ads,Display,Remarketing,Remarketing,36786,523,1633.66,33,9922.84,97000
2026-06-22,Google Ads,Paid Search,Brand Search,Brand,19844,1586,3347.0,199,39229.84,112000
2026-06-22,Google Ads,Paid Search,Business Fiber,Non-Brand,45840,2374,8867.59,160,46994.95,279000
2026-06-22,Google Ads,Paid Search,SD-WAN,Non-Brand,32338,1334,7374.15,85,37543.08,218000
2026-06-22,Google Ads,Paid Search,UCaaS,Non-Brand,32446,1359,6056.26,95,40021.67,197000
2026-06-22,Google Ads,Paid Search,Managed Security,Non-Brand,26159,919,5468.85,52,28006.1,176000
2026-06-22,Google Ads,Paid Search,Enterprise Voice,Non-Brand,21424,868,4896.56,48,24075.68,149000
2026-06-22,Google Ads,Display,Remarketing,Remarketing,75388,1049,3209.1,65,20408.69,97000
2026-06-23,Google Ads,Paid Search,Brand Search,Brand,20328,1584,3365.43,208,41719.58,112000
2026-06-23,Google Ads,Paid Search,Business Fiber,Non-Brand,42913,2251,8907.99,145,41830.02,279000
2026-06-23,Google Ads,Paid Search,SD-WAN,Non-Brand,32700,1308,7348.65,84,37049.18,218000
2026-06-23,Google Ads,Paid Search,UCaaS,Non-Brand,36183,1517,6650.86,107,42407.49,197000
2026-06-23,Google Ads,Paid Search,Managed Security,Non-Brand,28015,981,6111.44,63,33908.29,176000
2026-06-23,Google Ads,Paid Search,Enterprise Voice,Non-Brand,22150,878,5041.41,52,26650.82,149000
2026-06-23,Google Ads,Display,Remarketing,Remarketing,70054,961,2908.07,71,21221.53,97000
2026-06-24,Google Ads,Paid Search,Brand Search,Brand,18333,1472,3188.86,193,38755.22,112000
2026-06-24,Google Ads,Paid Search,Business Fiber,Non-Brand,44306,2176,8010.71,147,44352.85,279000
2026-06-24,Google Ads,Paid Search,SD-WAN,Non-Brand,28901,1188,6235.18,80,36793.33,218000
2026-06-24,Google Ads,Paid Search,UCaaS,Non-Brand,35054,1386,6339.89,103,43288.59,197000
2026-06-24,Google Ads,Paid Search,Managed Security,Non-Brand,25496,851,5107.43,52,29598.55,176000
2026-06-24,Google Ads,Paid Search,Enterprise Voice,Non-Brand,21812,867,4782.4,50,25796.65,149000
2026-06-24,Google Ads,Display,Remarketing,Remarketing,69544,989,2863.53,66,20677.97,97000
2026-06-25,Google Ads,Paid Search,Brand Search,Brand,18383,1499,3347.09,208,43084.55,112000
2026-06-25,Google Ads,Paid Search,Business Fiber,Non-Brand,45842,2265,8447.77,153,47214.61,279000
2026-06-25,Google Ads,Paid Search,SD-WAN,Non-Brand,31072,1185,6237.3,78,36674.95,218000
2026-06-25,Google Ads,Paid Search,UCaaS,Non-Brand,35018,1435,6416.05,92,37454.26,197000
2026-06-25,Google Ads,Paid Search,Managed Security,Non-Brand,26264,914,5590.68,59,31065.5,176000
2026-06-25,Google Ads,Paid Search,Enterprise Voice,Non-Brand,20939,820,4454.99,45,22437.91,149000
2026-06-25,Google Ads,Display,Remarketing,Remarketing,69267,998,2895.5,61,19053.9,97000
2026-06-26,Google Ads,Paid Search,Brand Search,Brand,17912,1396,3197.51,168,33491.92,112000
2026-06-26,Google Ads,Paid Search,Business Fiber,Non-Brand,38786,1892,6836.28,130,40646.07,279000
2026-06-26,Google Ads,Paid Search,SD-WAN,Non-Brand,28089,1085,5933.37,68,30694.58,218000
2026-06-26,Google Ads,Paid Search,UCaaS,Non-Brand,30882,1226,5378.75,92,35592.36,197000
2026-06-26,Google Ads,Paid Search,Managed Security,Non-Brand,22659,792,4625.58,48,26656.92,176000
2026-06-26,Google Ads,Paid Search,Enterprise Voice,Non-Brand,20088,787,4535.72,48,23293.79,149000
2026-06-26,Google Ads,Display,Remarketing,Remarketing,64513,920,2827.43,56,17002.64,97000
2026-06-27,Google Ads,Paid Search,Brand Search,Brand,10170,846,1822.39,116,23518.59,112000
2026-06-27,Google Ads,Paid Search,Business Fiber,Non-Brand,22823,1157,4448.69,78,23837.37,279000
2026-06-27,Google Ads,Paid Search,SD-WAN,Non-Brand,16215,671,3735.35,47,21274.73,218000
2026-06-27,Google Ads,Paid Search,UCaaS,Non-Brand,16955,674,3058.04,49,18945.17,197000
2026-06-27,Google Ads,Paid Search,Managed Security,Non-Brand,12927,464,2691.59,26,14206.58,176000
2026-06-27,Google Ads,Paid Search,Enterprise Voice,Non-Brand,11593,465,2664.16,29,14201.06,149000
2026-06-27,Google Ads,Display,Remarketing,Remarketing,38880,543,1679.96,38,11274.71,97000
2026-06-28,Google Ads,Paid Search,Brand Search,Brand,9548,799,1695.16,113,23482.9,112000
2026-06-28,Google Ads,Paid Search,Business Fiber,Non-Brand,24214,1269,5046.67,87,25856.31,279000
2026-06-28,Google Ads,Paid Search,SD-WAN,Non-Brand,16548,630,3476.25,40,18368.9,218000
2026-06-28,Google Ads,Paid Search,UCaaS,Non-Brand,17972,725,3367.55,55,21221.64,197000
2026-06-28,Google Ads,Paid Search,Managed Security,Non-Brand,12796,427,2657.83,26,14817.08,176000
2026-06-28,Google Ads,Paid Search,Enterprise Voice,Non-Brand,10299,394,2237.08,25,12262.69,149000
2026-06-28,Google Ads,Display,Remarketing,Remarketing,36418,491,1540.24,32,9485.26,97000
2026-06-29,Google Ads,Paid Search,Brand Search,Brand,18173,1510,3201.28,194,39471.7,112000
2026-06-29,Google Ads,Paid Search,Business Fiber,Non-Brand,46361,2421,9127.02,165,47721.93,279000
2026-06-29,Google Ads,Paid Search,SD-WAN,Non-Brand,29776,1143,6281.43,72,33939.61,218000
2026-06-29,Google Ads,Paid Search,UCaaS,Non-Brand,30894,1220,5457.77,93,38553.74,197000
2026-06-29,Google Ads,Paid Search,Managed Security,Non-Brand,23879,851,5130.5,56,30292.08,176000
2026-06-29,Google Ads,Paid Search,Enterprise Voice,Non-Brand,20245,785,4152.59,49,24521.41,149000
2026-06-29,Google Ads,Display,Remarketing,Remarketing,72398,1028,3113.74,62,19219.32,97000
2026-06-30,Google Ads,Paid Search,Brand Search,Brand,19160,1475,3267.02,175,35899.06,112000
2026-06-30,Google Ads,Paid Search,Business Fiber,Non-Brand,43749,2125,8374.84,133,38552.97,279000
2026-06-30,Google Ads,Paid Search,SD-WAN,Non-Brand,33040,1256,7154.95,75,32507.76,218000
2026-06-30,Google Ads,Paid Search,UCaaS,Non-Brand,32974,1276,5834.58,81,30771.01,197000
2026-06-30,Google Ads,Paid Search,Managed Security,Non-Brand,27462,936,5516.85,52,27536.27,176000
2026-06-30,Google Ads,Paid Search,Enterprise Voice,Non-Brand,21987,882,4968.83,52,26472.82,149000
2026-06-30,Google Ads,Display,Remarketing,Remarketing,72730,978,2936.35,71,20439.92,97000
2026-07-01,Google Ads,Paid Search,Brand Search,Brand,20305,1684,3712.82,217,45327.32,112000
2026-07-01,Google Ads,Paid Search,Business Fiber,Non-Brand,41489,2070,7789.01,139,41764.38,279000
2026-07-01,Google Ads,Paid Search,SD-WAN,Non-Brand,32166,1232,6490.77,81,34831.95,218000
2026-07-01,Google Ads,Paid Search,UCaaS,Non-Brand,32188,1305,5899.34,88,36996.87,197000
2026-07-01,Google Ads,Paid Search,Managed Security,Non-Brand,25640,893,5415.93,49,27614.85,176000
2026-07-01,Google Ads,Paid Search,Enterprise Voice,Non-Brand,21742,883,4985.95,54,26283.34,149000
2026-07-01,Google Ads,Display,Remarketing,Remarketing,70013,954,2814.63,63,18828.99,97000
2026-07-02,Google Ads,Paid Search,Brand Search,Brand,17647,1401,3134.12,177,34208.88,112000
2026-07-02,Google Ads,Paid Search,Business Fiber,Non-Brand,46284,2214,8692.4,132,38002.4,279000
2026-07-02,Google Ads,Paid Search,SD-WAN,Non-Brand,30445,1256,6945.75,82,37192.15,218000
2026-07-02,Google Ads,Paid Search,UCaaS,Non-Brand,31552,1214,5384.79,88,36006.78,197000
2026-07-02,Google Ads,Paid Search,Managed Security,Non-Brand,26246,939,5897.32,57,31085.41,176000
2026-07-02,Google Ads,Paid Search,Enterprise Voice,Non-Brand,20241,786,4392.94,44,20953.29,149000
2026-07-02,Google Ads,Display,Remarketing,Remarketing,72332,999,3076.42,68,21008.42,97000
2026-07-03,Google Ads,Paid Search,Brand Search,Brand,18546,1554,3527.78,206,41816.1,112000
2026-07-03,Google Ads,Paid Search,Business Fiber,Non-Brand,37315,1946,7637.59,120,34968.01,279000
2026-07-03,Google Ads,Paid Search,SD-WAN,Non-Brand,28198,1106,5987.66,64,29918.15,218000
2026-07-03,Google Ads,Paid Search,UCaaS,Non-Brand,30531,1209,5246.12,87,33125.4,197000
2026-07-03,Google Ads,Paid Search,Managed Security,Non-Brand,23994,816,4855.97,47,25685.31,176000
2026-07-03,Google Ads,Paid Search,Enterprise Voice,Non-Brand,19280,793,4388.53,43,20376.32,149000
2026-07-03,Google Ads,Display,Remarketing,Remarketing,60341,855,2608.78,55,16662.42,97000
2026-07-04,Google Ads,Paid Search,Brand Search,Brand,10152,807,1736.04,110,21162.48,112000
2026-07-04,Google Ads,Paid Search,Business Fiber,Non-Brand,23113,1131,4372.94,73,22320.75,279000
2026-07-04,Google Ads,Paid Search,SD-WAN,Non-Brand,14662,580,3223.65,34,14838.46,218000
2026-07-04,Google Ads,Paid Search,UCaaS,Non-Brand,16682,643,2823.07,43,16531.09,197000
2026-07-04,Google Ads,Paid Search,Managed Security,Non-Brand,13893,470,2789.14,29,16132.2,176000
2026-07-04,Google Ads,Paid Search,Enterprise Voice,Non-Brand,11355,468,2464.41,29,14058.65,149000
2026-07-04,Google Ads,Display,Remarketing,Remarketing,34114,498,1547.2,34,10230.11,97000
2026-07-05,Google Ads,Paid Search,Brand Search,Brand,10516,834,1764.96,98,19226.35,112000
2026-07-05,Google Ads,Paid Search,Business Fiber,Non-Brand,24502,1240,4866.76,87,25083.11,279000
2026-07-05,Google Ads,Paid Search,SD-WAN,Non-Brand,16684,650,3608.06,42,18707.57,218000
2026-07-05,Google Ads,Paid Search,UCaaS,Non-Brand,16959,667,2953.5,44,17467.15,197000
2026-07-05,Google Ads,Paid Search,Managed Security,Non-Brand,12540,439,2742.94,26,14356.7,176000
2026-07-05,Google Ads,Paid Search,Enterprise Voice,Non-Brand,11330,467,2503.34,26,12364.42,149000
2026-07-05,Google Ads,Display,Remarketing,Remarketing,37566,540,1643.98,34,10422.5,97000
2026-07-06,Google Ads,Paid Search,Brand Search,Brand,19407,1592,3593.51,204,42609.28,112000
2026-07-06,Google Ads,Paid Search,Business Fiber,Non-Brand,45085,2285,8790.25,159,48332.36,279000
2026-07-06,Google Ads,Paid Search,SD-WAN,Non-Brand,28502,1091,5964.98,67,29635.75,218000
2026-07-06,Google Ads,Paid Search,UCaaS,Non-Brand,31019,1242,5481.56,86,32906.56,197000
2026-07-06,Google Ads,Paid Search,Managed Security,Non-Brand,26869,901,5600.51,58,32144.58,176000
2026-07-06,Google Ads,Paid Search,Enterprise Voice,Non-Brand,20603,821,4540.35,51,26514.16,149000
2026-07-06,Google Ads,Display,Remarketing,Remarketing,69993,1010,3076.78,65,19533.56,97000
2026-07-07,Google Ads,Paid Search,Brand Search,Brand,18864,1443,3048.71,202,39786.35,112000
2026-07-07,Google Ads,Paid Search,Business Fiber,Non-Brand,47474,2375,8728.66,146,43630.92,279000
2026-07-07,Google Ads,Paid Search,SD-WAN,Non-Brand,30749,1233,6548.8,77,34008.11,218000
2026-07-07,Google Ads,Paid Search,UCaaS,Non-Brand,33843,1332,6051.89,99,40029.37,197000
2026-07-07,Google Ads,Paid Search,Managed Security,Non-Brand,24421,820,5008.28,47,26429.69,176000
2026-07-07,Google Ads,Paid Search,Enterprise Voice,Non-Brand,21698,903,5153.02,51,25837.42,149000
2026-07-07,Google Ads,Display,Remarketing,Remarketing,68412,943,2962.53,66,19501.8,97000
2026-07-08,Google Ads,Paid Search,Brand Search,Brand,19720,1647,3553.82,208,42877.8,112000
2026-07-08,Google Ads,Paid Search,Business Fiber,Non-Brand,46861,2383,9352.96,162,49512.3,279000
2026-07-08,Google Ads,Paid Search,SD-WAN,Non-Brand,30315,1230,6714.86,77,34139.53,218000
2026-07-08,Google Ads,Paid Search,UCaaS,Non-Brand,31682,1231,5787.74,86,33434.86,197000
2026-07-08,Google Ads,Paid Search,Managed Security,Non-Brand,24035,806,5000.51,44,25087.0,176000
2026-07-08,Google Ads,Paid Search,Enterprise Voice,Non-Brand,21683,901,4724.42,51,26251.11,149000
2026-07-08,Google Ads,Display,Remarketing,Remarketing,66395,918,2661.18,66,20209.42,97000
