date,platform,campaign,keyword,match_type,impressions,clicks,spend,conversions,conversion_value
2026-08-01,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,4190,168,1066.91,9,4818.87
2026-08-01,Google Ads,Enterprise Voice,sip trunking provider,Phrase,3631,145,924.59,8,4176.07
2026-08-01,Google Ads,Enterprise Voice,business phone systems,Broad,2599,104,661.85,6,2989.36
2026-08-02,Google Ads,Brand Search,connectwave,Exact,5651,455,954.15,64,12575.8
2026-08-02,Google Ads,Brand Search,connectwave communications,Phrase,3373,272,569.45,38,7505.44
2026-08-02,Google Ads,Brand Search,connectwave login,Exact,2169,175,366.22,25,4826.85
2026-08-02,Google Ads,Business Fiber,business fiber internet,Phrase,10833,546,2128.59,37,10977.63
2026-08-02,Google Ads,Business Fiber,fiber internet for business,Phrase,7360,371,1446.07,25,7457.74
2026-08-02,Google Ads,Business Fiber,dedicated fiber connection,Broad,6280,317,1234.01,22,6364.1
2026-08-02,Google Ads,SD-WAN,sd-wan provider,Phrase,4567,176,945.76,12,5389.59
2026-08-02,Google Ads,SD-WAN,sd-wan solutions,Phrase,3318,128,687.13,9,3915.73
2026-08-02,Google Ads,SD-WAN,managed sd-wan,Broad,2774,107,574.46,7,3273.65
2026-08-02,Google Ads,UCaaS,ucaas provider,Phrase,7019,276,1357.65,18,7523.12
2026-08-02,Google Ads,UCaaS,cloud phone system,Phrase,6270,246,1212.7,16,6719.89
2026-08-02,Google Ads,UCaaS,business voip solutions,Broad,4836,190,935.3,12,5182.76
2026-08-02,Google Ads,Managed Security,managed security services,Phrase,5762,202,1267.44,11,6013.04
2026-08-02,Google Ads,Managed Security,network security provider,Phrase,4028,141,886.17,8,4204.2
2026-08-02,Google Ads,Managed Security,endpoint security business,Broad,4131,145,908.86,8,4311.85
2026-08-02,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,4774,188,1308.85,12,5954.52
2026-08-02,Google Ads,Enterprise Voice,sip trunking provider,Phrase,4075,160,1117.32,10,5083.16
2026-08-02,Google Ads,Enterprise Voice,business phone systems,Broad,2764,109,757.83,7,3447.69
2026-08-03,Google Ads,Brand Search,connectwave,Exact,9857,823,1798.98,111,22480.17
2026-08-03,Google Ads,Brand Search,connectwave communications,Phrase,5697,476,1039.69,64,12992.04
2026-08-03,Google Ads,Brand Search,connectwave login,Exact,3857,322,703.96,43,8796.69
2026-08-03,Google Ads,Business Fiber,business fiber internet,Phrase,17904,906,3544.66,61,17619.23
2026-08-03,Google Ads,Business Fiber,fiber internet for business,Phrase,11796,597,2335.4,40,11608.41
2026-08-03,Google Ads,Business Fiber,dedicated fiber connection,Broad,10257,519,2030.78,35,10094.26
2026-08-03,Google Ads,SD-WAN,sd-wan provider,Phrase,9344,382,2127.28,26,11360.73
2026-08-03,Google Ads,SD-WAN,sd-wan solutions,Phrase,5922,242,1348.1,16,7199.54
2026-08-03,Google Ads,SD-WAN,managed sd-wan,Broad,5361,219,1220.59,15,6518.55
2026-08-03,Google Ads,UCaaS,ucaas provider,Phrase,12646,481,2283.46,33,12783.94
2026-08-03,Google Ads,UCaaS,cloud phone system,Phrase,10753,409,1941.77,28,10870.94
2026-08-03,Google Ads,UCaaS,business voip solutions,Broad,7506,285,1355.41,19,7588.23
2026-08-03,Google Ads,Managed Security,managed security services,Phrase,10061,341,2036.22,21,11256.58
2026-08-03,Google Ads,Managed Security,network security provider,Phrase,7420,251,1501.7,15,8301.66
2026-08-03,Google Ads,Managed Security,endpoint security business,Broad,7368,250,1491.18,15,8243.52
2026-08-03,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,7412,292,1937.49,18,8588.99
2026-08-03,Google Ads,Enterprise Voice,sip trunking provider,Phrase,6566,259,1716.5,16,7609.32
2026-08-03,Google Ads,Enterprise Voice,business phone systems,Broad,4563,180,1192.71,11,5287.34
2026-08-04,Google Ads,Brand Search,connectwave,Exact,10730,899,1993.01,109,21529.77
2026-08-04,Google Ads,Brand Search,connectwave communications,Phrase,6739,565,1251.67,68,13521.31
2026-08-04,Google Ads,Brand Search,connectwave login,Exact,4437,372,824.22,45,8903.75
2026-08-04,Google Ads,Business Fiber,business fiber internet,Phrase,19806,970,3685.7,58,17134.06
2026-08-04,Google Ads,Business Fiber,fiber internet for business,Phrase,13251,649,2465.91,39,11463.54
2026-08-04,Google Ads,Business Fiber,dedicated fiber connection,Broad,10512,515,1956.27,31,9094.31
2026-08-04,Google Ads,SD-WAN,sd-wan provider,Phrase,9825,393,2066.86,24,10516.65
2026-08-04,Google Ads,SD-WAN,sd-wan solutions,Phrase,6241,249,1312.8,15,6679.84
2026-08-04,Google Ads,SD-WAN,managed sd-wan,Broad,5704,228,1199.91,14,6105.4
2026-08-04,Google Ads,UCaaS,ucaas provider,Phrase,14462,584,2767.71,38,14770.32
2026-08-04,Google Ads,UCaaS,cloud phone system,Phrase,11538,466,2208.12,30,11784.02
2026-08-04,Google Ads,UCaaS,business voip solutions,Broad,9190,371,1758.77,24,9385.94
2026-08-04,Google Ads,Managed Security,managed security services,Phrase,11451,394,2392.66,25,13536.42
2026-08-04,Google Ads,Managed Security,network security provider,Phrase,8541,294,1784.71,19,10096.97
2026-08-04,Google Ads,Managed Security,endpoint security business,Broad,7941,273,1659.31,18,9387.47
2026-08-04,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,7998,330,2408.16,21,10219.13
2026-08-04,Google Ads,Enterprise Voice,sip trunking provider,Phrase,7477,308,2251.17,20,9552.95
2026-08-04,Google Ads,Enterprise Voice,business phone systems,Broad,5032,208,1514.98,13,6428.88
2026-08-05,Google Ads,Brand Search,connectwave,Exact,11026,864,1937.16,112,22533.44
2026-08-05,Google Ads,Brand Search,connectwave communications,Phrase,6372,499,1119.47,65,13021.87
2026-08-05,Google Ads,Brand Search,connectwave login,Exact,4138,324,727.03,42,8457.01
2026-08-05,Google Ads,Business Fiber,business fiber internet,Phrase,18968,937,3671.95,59,17157.16
2026-08-05,Google Ads,Business Fiber,fiber internet for business,Phrase,12603,622,2439.69,39,11399.42
2026-08-05,Google Ads,Business Fiber,dedicated fiber connection,Broad,10378,513,2009.04,33,9387.24
2026-08-05,Google Ads,SD-WAN,sd-wan provider,Phrase,9841,397,2195.0,26,11972.69
2026-08-05,Google Ads,SD-WAN,sd-wan solutions,Phrase,6727,271,1500.45,18,8184.22
2026-08-05,Google Ads,SD-WAN,managed sd-wan,Broad,5703,230,1271.99,15,6938.08
2026-08-05,Google Ads,UCaaS,ucaas provider,Phrase,14147,564,2840.07,39,15264.54
2026-08-05,Google Ads,UCaaS,cloud phone system,Phrase,11935,476,2396.04,33,12878.0
2026-08-05,Google Ads,UCaaS,business voip solutions,Broad,8965,357,1799.71,25,9672.9
2026-08-05,Google Ads,Managed Security,managed security services,Phrase,12366,433,2575.42,22,12367.73
2026-08-05,Google Ads,Managed Security,network security provider,Phrase,9472,331,1972.7,17,9473.34
2026-08-05,Google Ads,Managed Security,endpoint security business,Broad,8960,313,1866.06,16,8961.21
2026-08-05,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,8377,339,2372.93,21,10502.79
2026-08-05,Google Ads,Enterprise Voice,sip trunking provider,Phrase,7297,296,2066.94,18,9148.45
2026-08-05,Google Ads,Enterprise Voice,business phone systems,Broad,5020,203,1422.07,12,6294.21
2026-08-06,Google Ads,Brand Search,connectwave,Exact,9001,750,1682.38,98,20204.39
2026-08-06,Google Ads,Brand Search,connectwave communications,Phrase,5370,448,1003.8,59,12055.06
2026-08-06,Google Ads,Brand Search,connectwave login,Exact,3999,333,747.55,44,8977.57
2026-08-06,Google Ads,Business Fiber,business fiber internet,Phrase,19391,1008,3844.1,67,19328.91
2026-08-06,Google Ads,Business Fiber,fiber internet for business,Phrase,13264,690,2629.54,46,13221.85
2026-08-06,Google Ads,Business Fiber,dedicated fiber connection,Broad,10290,535,2039.98,36,10257.44
2026-08-06,Google Ads,SD-WAN,sd-wan provider,Phrase,10161,413,2237.77,27,11736.75
2026-08-06,Google Ads,SD-WAN,sd-wan solutions,Phrase,6918,281,1523.5,19,7990.51
2026-08-06,Google Ads,SD-WAN,managed sd-wan,Broad,5373,218,1183.22,14,6205.78
2026-08-06,Google Ads,UCaaS,ucaas provider,Phrase,13391,545,2688.58,40,16782.43
2026-08-06,Google Ads,UCaaS,cloud phone system,Phrase,12621,514,2533.89,38,15816.88
2026-08-06,Google Ads,UCaaS,business voip solutions,Broad,9156,373,1838.17,28,11474.11
2026-08-06,Google Ads,Managed Security,managed security services,Phrase,11584,408,2458.62,21,11719.18
2026-08-06,Google Ads,Managed Security,network security provider,Phrase,8685,306,1843.31,16,8786.27
2026-08-06,Google Ads,Managed Security,endpoint security business,Broad,8482,298,1800.12,15,8580.41
2026-08-06,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,8175,330,2425.91,19,9466.05
2026-08-06,Google Ads,Enterprise Voice,sip trunking provider,Phrase,7170,289,2127.72,17,8302.51
2026-08-06,Google Ads,Enterprise Voice,business phone systems,Broad,5146,208,1527.04,12,5958.6
2026-08-07,Google Ads,Brand Search,connectwave,Exact,8385,665,1530.93,79,16631.42
2026-08-07,Google Ads,Brand Search,connectwave communications,Phrase,5234,415,955.57,50,10380.97
2026-08-07,Google Ads,Brand Search,connectwave login,Exact,3198,254,583.81,30,6342.25
2026-08-07,Google Ads,Business Fiber,business fiber internet,Phrase,16960,832,3147.61,51,15223.95
2026-08-07,Google Ads,Business Fiber,fiber internet for business,Phrase,11265,553,2090.7,34,10112.05
2026-08-07,Google Ads,Business Fiber,dedicated fiber connection,Broad,8984,441,1667.46,27,8064.94
2026-08-07,Google Ads,SD-WAN,sd-wan provider,Phrase,9036,359,2014.41,22,9816.66
2026-08-07,Google Ads,SD-WAN,sd-wan solutions,Phrase,5928,236,1321.56,15,6440.21
2026-08-07,Google Ads,SD-WAN,managed sd-wan,Broad,4715,188,1051.23,12,5122.86
2026-08-07,Google Ads,UCaaS,ucaas provider,Phrase,13028,501,2607.6,36,14701.4
2026-08-07,Google Ads,UCaaS,cloud phone system,Phrase,10728,413,2147.26,30,12106.04
2026-08-07,Google Ads,UCaaS,business voip solutions,Broad,7960,306,1593.21,22,8982.37
2026-08-07,Google Ads,Managed Security,managed security services,Phrase,10580,364,2182.88,19,10420.15
2026-08-07,Google Ads,Managed Security,network security provider,Phrase,8047,277,1660.27,14,7925.41
2026-08-07,Google Ads,Managed Security,endpoint security business,Broad,7831,270,1615.69,14,7712.62
2026-08-07,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,7049,284,2205.48,16,7803.97
2026-08-07,Google Ads,Enterprise Voice,sip trunking provider,Phrase,6418,258,2008.03,14,7105.28
2026-08-07,Google Ads,Enterprise Voice,business phone systems,Broad,4582,184,1433.51,10,5072.41
2026-08-08,Google Ads,Brand Search,connectwave,Exact,5060,409,888.75,55,10706.37
2026-08-08,Google Ads,Brand Search,connectwave communications,Phrase,2793,226,490.68,31,5910.97
2026-08-08,Google Ads,Brand Search,connectwave login,Exact,1843,149,323.71,20,3899.57
2026-08-08,Google Ads,Business Fiber,business fiber internet,Phrase,10455,539,1958.17,32,10015.5
2026-08-08,Google Ads,Business Fiber,fiber internet for business,Phrase,7084,365,1326.88,22,6786.62
2026-08-08,Google Ads,Business Fiber,dedicated fiber connection,Broad,6305,325,1180.84,19,6039.7
2026-08-08,Google Ads,SD-WAN,sd-wan provider,Phrase,5020,197,1080.61,12,5635.1
2026-08-08,Google Ads,SD-WAN,sd-wan solutions,Phrase,3121,123,671.82,8,3503.33
2026-08-08,Google Ads,SD-WAN,managed sd-wan,Broad,2762,109,594.53,7,3100.31
2026-08-08,Google Ads,UCaaS,ucaas provider,Phrase,6889,279,1431.52,20,8066.07
2026-08-08,Google Ads,UCaaS,cloud phone system,Phrase,5846,237,1214.81,17,6844.98
2026-08-08,Google Ads,UCaaS,business voip solutions,Broad,4316,175,896.85,13,5053.42
2026-08-08,Google Ads,Managed Security,managed security services,Phrase,6240,217,1309.48,11,6190.6
2026-08-08,Google Ads,Managed Security,network security provider,Phrase,4441,155,932.06,8,4406.34
2026-08-08,Google Ads,Managed Security,endpoint security business,Broad,4704,164,987.13,8,4666.7
2026-08-08,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,4364,171,1308.54,9,4434.16
2026-08-08,Google Ads,Enterprise Voice,sip trunking provider,Phrase,3785,148,1135.05,8,3846.27
2026-08-08,Google Ads,Enterprise Voice,business phone systems,Broad,2715,106,814.11,6,2758.7
2026-08-09,Google Ads,Brand Search,connectwave,Exact,5233,403,877.26,49,9940.53
2026-08-09,Google Ads,Brand Search,connectwave communications,Phrase,3002,231,503.28,28,5702.88
2026-08-09,Google Ads,Brand Search,connectwave login,Exact,2097,162,351.52,20,3983.16
2026-08-09,Google Ads,Business Fiber,business fiber internet,Phrase,10953,555,2216.86,36,10925.17
2026-08-09,Google Ads,Business Fiber,fiber internet for business,Phrase,7615,386,1541.24,25,7595.59
2026-08-09,Google Ads,Business Fiber,dedicated fiber connection,Broad,5715,290,1156.62,19,5700.07
2026-08-09,Google Ads,SD-WAN,sd-wan provider,Phrase,5054,198,1085.92,12,5154.82
2026-08-09,Google Ads,SD-WAN,sd-wan solutions,Phrase,3219,126,691.67,8,3283.31
2026-08-09,Google Ads,SD-WAN,managed sd-wan,Broad,2801,110,601.77,7,2856.59
2026-08-09,Google Ads,UCaaS,ucaas provider,Phrase,6356,245,1294.21,19,7499.84
2026-08-09,Google Ads,UCaaS,cloud phone system,Phrase,5505,212,1120.95,16,6495.81
2026-08-09,Google Ads,UCaaS,business voip solutions,Broad,3814,147,776.62,11,4500.47
2026-08-09,Google Ads,Managed Security,managed security services,Phrase,6429,224,1354.54,12,6421.2
2026-08-09,Google Ads,Managed Security,network security provider,Phrase,4424,154,932.08,8,4418.51
2026-08-09,Google Ads,Managed Security,endpoint security business,Broad,4459,155,939.44,8,4453.39
2026-08-09,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,4257,163,1196.79,10,4934.77
2026-08-09,Google Ads,Enterprise Voice,sip trunking provider,Phrase,3798,145,1067.55,9,4401.86
2026-08-09,Google Ads,Enterprise Voice,business phone systems,Broad,2822,108,793.14,7,3270.36
2026-08-10,Google Ads,Brand Search,connectwave,Exact,10074,810,1712.95,97,19922.22
2026-08-10,Google Ads,Brand Search,connectwave communications,Phrase,5941,478,1010.27,57,11749.77
2026-08-10,Google Ads,Brand Search,connectwave login,Exact,4155,334,706.51,40,8216.96
2026-08-10,Google Ads,Business Fiber,business fiber internet,Phrase,21827,1077,4223.91,63,19460.53
2026-08-10,Google Ads,Business Fiber,fiber internet for business,Phrase,14059,693,2720.67,41,12534.77
2026-08-10,Google Ads,Business Fiber,dedicated fiber connection,Broad,11918,588,2306.31,35,10625.73
2026-08-10,Google Ads,SD-WAN,sd-wan provider,Phrase,9471,398,2098.81,27,12566.0
2026-08-10,Google Ads,SD-WAN,sd-wan solutions,Phrase,6675,280,1479.15,19,8855.99
2026-08-10,Google Ads,SD-WAN,managed sd-wan,Broad,5149,216,1140.95,15,6831.11
2026-08-10,Google Ads,UCaaS,ucaas provider,Phrase,12572,528,2715.05,36,14790.62
2026-08-10,Google Ads,UCaaS,cloud phone system,Phrase,11663,490,2518.58,33,13720.3
2026-08-10,Google Ads,UCaaS,business voip solutions,Broad,7756,326,1674.94,22,9124.5
2026-08-10,Google Ads,Managed Security,managed security services,Phrase,12132,423,2507.46,22,12023.42
2026-08-10,Google Ads,Managed Security,network security provider,Phrase,8808,307,1820.46,16,8729.24
2026-08-10,Google Ads,Managed Security,endpoint security business,Broad,9098,317,1880.39,16,9016.6
2026-08-10,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,8214,332,2554.93,20,10272.74
2026-08-10,Google Ads,Enterprise Voice,sip trunking provider,Phrase,7665,309,2384.13,19,9586.01
2026-08-10,Google Ads,Enterprise Voice,business phone systems,Broad,5487,221,1706.78,13,6862.56
2026-08-11,Google Ads,Brand Search,connectwave,Exact,9638,754,1665.67,94,19259.06
2026-08-11,Google Ads,Brand Search,connectwave communications,Phrase,6178,483,1067.59,60,12343.78
2026-08-11,Google Ads,Brand Search,connectwave login,Exact,3846,301,664.65,38,7684.85
2026-08-11,Google Ads,Business Fiber,business fiber internet,Phrase,18852,921,3623.73,65,20018.16
2026-08-11,Google Ads,Business Fiber,fiber internet for business,Phrase,12826,626,2465.44,45,13619.58
2026-08-11,Google Ads,Business Fiber,dedicated fiber connection,Broad,10919,533,2098.96,38,11595.06
2026-08-11,Google Ads,SD-WAN,sd-wan provider,Phrase,8860,371,2097.68,26,12200.42
2026-08-11,Google Ads,SD-WAN,sd-wan solutions,Phrase,6139,257,1453.36,18,8452.99
2026-08-11,Google Ads,SD-WAN,managed sd-wan,Broad,5436,227,1287.02,16,7485.53
2026-08-11,Google Ads,UCaaS,ucaas provider,Phrase,14004,539,2915.02,36,14646.89
2026-08-11,Google Ads,UCaaS,cloud phone system,Phrase,12996,500,2705.18,33,13592.56
2026-08-11,Google Ads,UCaaS,business voip solutions,Broad,9228,355,1920.91,24,9651.86
2026-08-11,Google Ads,Managed Security,managed security services,Phrase,12308,430,2570.59,23,12356.68
2026-08-11,Google Ads,Managed Security,network security provider,Phrase,9739,340,2034.02,18,9777.43
2026-08-11,Google Ads,Managed Security,endpoint security business,Broad,9340,326,1950.73,17,9377.05
2026-08-11,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,8190,320,2524.21,19,9427.25
2026-08-11,Google Ads,Enterprise Voice,sip trunking provider,Phrase,7396,289,2279.32,17,8512.63
2026-08-11,Google Ads,Enterprise Voice,business phone systems,Broad,5415,211,1668.73,12,6232.24
2026-08-12,Google Ads,Brand Search,connectwave,Exact,9129,763,1650.06,89,18316.4
2026-08-12,Google Ads,Brand Search,connectwave communications,Phrase,5927,496,1071.32,58,11892.1
2026-08-12,Google Ads,Brand Search,connectwave login,Exact,3711,310,670.85,36,7446.69
2026-08-12,Google Ads,Business Fiber,business fiber internet,Phrase,20306,1039,3930.87,70,20592.36
2026-08-12,Google Ads,Business Fiber,fiber internet for business,Phrase,14266,730,2761.54,49,14466.69
2026-08-12,Google Ads,Business Fiber,dedicated fiber connection,Broad,11706,599,2265.95,40,11870.46
2026-08-12,Google Ads,SD-WAN,sd-wan provider,Phrase,8920,358,1913.67,23,9919.87
2026-08-12,Google Ads,SD-WAN,sd-wan solutions,Phrase,6347,255,1361.68,16,7058.5
2026-08-12,Google Ads,SD-WAN,managed sd-wan,Broad,5354,215,1148.72,14,5954.58
2026-08-12,Google Ads,UCaaS,ucaas provider,Phrase,12618,521,2698.22,37,14922.5
2026-08-12,Google Ads,UCaaS,cloud phone system,Phrase,11796,487,2522.26,34,13949.36
2026-08-12,Google Ads,UCaaS,business voip solutions,Broad,7902,326,1689.8,23,9345.41
2026-08-12,Google Ads,Managed Security,managed security services,Phrase,11238,396,2345.39,20,11301.71
2026-08-12,Google Ads,Managed Security,network security provider,Phrase,9227,325,1925.63,17,9278.98
2026-08-12,Google Ads,Managed Security,endpoint security business,Broad,9196,324,1919.07,17,9247.41
2026-08-12,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,7615,313,2488.14,17,8807.29
2026-08-12,Google Ads,Enterprise Voice,sip trunking provider,Phrase,6522,268,2130.87,15,7542.67
2026-08-12,Google Ads,Enterprise Voice,business phone systems,Broad,4947,203,1616.22,11,5720.94
2026-08-13,Google Ads,Brand Search,connectwave,Exact,8487,689,1464.31,97,18983.19
2026-08-13,Google Ads,Brand Search,connectwave communications,Phrase,5477,445,945.09,63,12252.07
2026-08-13,Google Ads,Brand Search,connectwave login,Exact,3590,292,619.44,41,8030.39
2026-08-13,Google Ads,Business Fiber,business fiber internet,Phrase,19196,936,3510.62,66,19033.67
2026-08-13,Google Ads,Business Fiber,fiber internet for business,Phrase,13113,639,2398.21,45,13002.45
2026-08-13,Google Ads,Business Fiber,dedicated fiber connection,Broad,11306,551,2067.71,39,11210.59
2026-08-13,Google Ads,SD-WAN,sd-wan provider,Phrase,8825,346,1941.71,21,9630.3
2026-08-13,Google Ads,SD-WAN,sd-wan solutions,Phrase,6511,255,1432.49,16,7104.73
2026-08-13,Google Ads,SD-WAN,managed sd-wan,Broad,5039,198,1108.66,12,5498.64
2026-08-13,Google Ads,UCaaS,ucaas provider,Phrase,13453,511,2707.39,33,12900.92
2026-08-13,Google Ads,UCaaS,cloud phone system,Phrase,11088,421,2231.34,27,10632.5
2026-08-13,Google Ads,UCaaS,business voip solutions,Broad,8870,337,1785.13,22,8506.26
2026-08-13,Google Ads,Managed Security,managed security services,Phrase,11795,419,2518.14,22,11989.86
2026-08-13,Google Ads,Managed Security,network security provider,Phrase,8838,314,1886.74,16,8983.5
2026-08-13,Google Ads,Managed Security,endpoint security business,Broad,8178,290,1745.83,15,8312.59
2026-08-13,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,8818,350,2688.33,19,9280.11
2026-08-13,Google Ads,Enterprise Voice,sip trunking provider,Phrase,7468,296,2276.95,16,7860.03
2026-08-13,Google Ads,Enterprise Voice,business phone systems,Broad,5311,211,1619.2,11,5589.45
2026-08-14,Google Ads,Brand Search,connectwave,Exact,9224,757,1603.46,108,20791.15
2026-08-14,Google Ads,Brand Search,connectwave communications,Phrase,5486,450,953.71,64,12366.2
2026-08-14,Google Ads,Brand Search,connectwave login,Exact,3516,288,611.22,41,7925.32
2026-08-14,Google Ads,Business Fiber,business fiber internet,Phrase,18685,888,3426.31,57,17468.75
2026-08-14,Google Ads,Business Fiber,fiber internet for business,Phrase,12362,588,2266.83,38,11557.24
2026-08-14,Google Ads,Business Fiber,dedicated fiber connection,Broad,9901,471,1815.55,30,9256.43
2026-08-14,Google Ads,SD-WAN,sd-wan provider,Phrase,9206,356,1937.41,24,11051.0
2026-08-14,Google Ads,SD-WAN,sd-wan solutions,Phrase,6138,237,1291.73,16,7368.04
2026-08-14,Google Ads,SD-WAN,managed sd-wan,Broad,4879,188,1026.71,13,5856.37
2026-08-14,Google Ads,UCaaS,ucaas provider,Phrase,11428,439,2409.04,31,12362.99
2026-08-14,Google Ads,UCaaS,cloud phone system,Phrase,9444,363,1990.89,26,10217.1
2026-08-14,Google Ads,UCaaS,business voip solutions,Broad,7333,281,1545.8,20,7932.9
2026-08-14,Google Ads,Managed Security,managed security services,Phrase,10728,374,2251.31,20,10894.47
2026-08-14,Google Ads,Managed Security,network security provider,Phrase,8669,302,1819.05,16,8802.69
2026-08-14,Google Ads,Managed Security,endpoint security business,Broad,8059,281,1691.21,15,8184.05
2026-08-14,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,6630,267,2147.7,16,8217.22
2026-08-14,Google Ads,Enterprise Voice,sip trunking provider,Phrase,5796,233,1877.4,14,7183.05
2026-08-14,Google Ads,Enterprise Voice,business phone systems,Broad,4188,168,1356.61,10,5190.45
2026-08-15,Google Ads,Brand Search,connectwave,Exact,4912,402,867.77,48,9893.39
2026-08-15,Google Ads,Brand Search,connectwave communications,Phrase,2970,243,524.76,29,5982.77
2026-08-15,Google Ads,Brand Search,connectwave login,Exact,2044,167,361.08,20,4116.67
2026-08-15,Google Ads,Business Fiber,business fiber internet,Phrase,10880,544,1986.13,35,10684.81
2026-08-15,Google Ads,Business Fiber,fiber internet for business,Phrase,7706,385,1406.77,25,7568.03
2026-08-15,Google Ads,Business Fiber,dedicated fiber connection,Broad,6115,306,1116.27,20,6005.21
2026-08-15,Google Ads,SD-WAN,sd-wan provider,Phrase,4862,204,1175.3,14,6171.95
2026-08-15,Google Ads,SD-WAN,sd-wan solutions,Phrase,3430,144,829.01,10,4353.45
2026-08-15,Google Ads,SD-WAN,managed sd-wan,Broad,2759,116,666.9,8,3502.16
2026-08-15,Google Ads,UCaaS,ucaas provider,Phrase,7785,313,1670.4,23,9338.49
2026-08-15,Google Ads,UCaaS,cloud phone system,Phrase,6343,255,1361.15,19,7609.58
2026-08-15,Google Ads,UCaaS,business voip solutions,Broad,4349,175,933.2,13,5217.12
2026-08-15,Google Ads,Managed Security,managed security services,Phrase,6707,231,1389.07,12,6748.76
2026-08-15,Google Ads,Managed Security,network security provider,Phrase,5169,178,1070.62,9,5201.57
2026-08-15,Google Ads,Managed Security,endpoint security business,Broad,5127,177,1061.84,9,5158.93
2026-08-15,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,4232,162,849.17,10,5017.35
2026-08-15,Google Ads,Enterprise Voice,sip trunking provider,Phrase,3477,133,697.59,8,4121.74
